EDateID,ExpiryYear,ExpiryQuarter,ExpiryMonth,ExpiryWeek,ExpiryDay
172,2025,3,7,34,23
135,2025,2,1,27,19
15,2024,1,10,44,27
28,2024,2,1,12,26
262,2025,1,1,14,25
65,2026,1,2,17,20
112,2024,1,3,49,13
174,2025,4,3,50,14
178,2025,3,6,41,23
128,2024,3,1,13,11
21,2024,3,10,46,5
240,2026,1,8,27,15
84,2025,4,12,47,28
88,2024,3,11,15,29
70,2024,4,11,11,31
2,2025,3,2,42,14
51,2024,4,1,22,17
122,2025,3,2,12,11
185,2025,3,7,35,23
55,2025,2,2,42,9
181,2024,3,8,8,2
258,2026,1,7,7,22
221,2024,3,9,13,24
218,2026,4,6,19,16
71,2024,2,2,24,18
280,2025,3,11,10,29
38,2026,1,8,3,15
123,2025,3,4,12,20
53,2025,4,10,12,5
41,2026,3,7,48,25
22,2025,4,11,20,10
43,2025,1,6,48,7
76,2026,2,7,15,21
55,2024,3,2,34,31
173,2024,1,7,31,8
123,2025,4,10,2,15
204,2026,2,3,17,26
182,2024,3,10,4,6
212,2025,1,9,34,15
13,2026,2,3,22,19
130,2026,4,9,4,10
110,2024,4,5,14,25
149,2026,1,4,26,16
271,2025,4,6,3,11
203,2024,2,3,9,16
80,2025,4,1,16,7
104,2024,1,9,25,20
220,2026,4,4,35,20
216,2026,4,6,11,24
110,2026,2,12,51,16
126,2025,3,9,26,22
11,2025,4,3,46,19
36,2024,1,6,27,10
70,2024,1,8,22,21
288,2024,1,10,31,15
37,2024,3,12,2,7
150,2024,1,7,48,22
182,2025,2,6,34,27
228,2024,4,3,35,19
227,2025,4,5,46,26
110,2026,2,9,19,4
147,2026,1,4,15,12
171,2024,3,5,16,28
262,2024,3,8,41,20
45,2024,3,12,9,1
175,2024,1,2,15,31
44,2024,4,10,25,6
286,2026,2,9,5,17
212,2024,3,12,7,23
135,2026,3,2,26,15
98,2026,2,9,10,27
270,2026,4,5,47,9
291,2025,2,3,2,23
24,2024,2,4,27,10
29,2025,2,6,46,19
89,2026,1,1,19,8
124,2024,3,2,10,1
189,2024,3,2,28,23
65,2025,4,12,27,29
68,2025,4,4,1,22
243,2026,2,12,18,6
159,2025,2,5,19,8
46,2026,2,6,4,28
49,2024,3,2,44,23
252,2026,1,5,12,29
266,2026,2,1,13,1
121,2024,4,7,31,11
76,2024,4,1,1,10
208,2026,1,7,26,20
229,2026,3,6,10,10
153,2025,4,9,41,5
86,2025,3,5,9,19
183,2026,4,3,2,10
237,2025,1,4,51,30
281,2024,4,12,26,12
178,2026,1,11,45,19
239,2024,2,9,45,13
21,2026,2,6,24,28
57,2026,1,11,34,14
233,2025,4,6,34,10
277,2024,3,10,33,27
55,2025,4,10,19,10
280,2025,3,11,10,24
250,2024,1,3,6,11
171,2025,2,10,26,24
202,2025,2,5,51,2
220,2024,2,3,8,17
151,2025,3,5,4,24
290,2024,4,12,31,4
142,2025,3,1,11,27
147,2024,1,4,42,30
73,2026,3,6,36,12
87,2024,2,4,24,10
128,2026,2,7,38,24
80,2024,4,4,43,8
119,2025,1,8,36,13
49,2026,3,8,18,13
227,2025,1,2,11,19
1,2025,3,3,42,28
199,2024,3,10,12,27
35,2026,1,10,22,1
142,2024,3,1,1,31
23,2024,4,6,17,2
195,2024,2,4,21,23
88,2026,3,12,31,26
101,2025,4,7,25,17
7,2026,1,5,20,23
82,2025,3,11,3,27
252,2025,2,8,23,5
256,2024,2,4,43,17
62,2024,3,3,44,12
55,2024,1,12,45,30
237,2026,3,9,40,29
90,2024,1,10,33,21
107,2025,4,6,43,17
43,2026,1,12,28,22
188,2024,4,2,52,31
78,2026,3,5,28,11
150,2024,2,12,35,5
239,2026,4,9,49,9
165,2026,1,5,26,23
71,2026,1,4,13,14
190,2025,2,1,8,3
62,2024,4,3,49,25
179,2026,3,5,14,11
270,2025,3,10,34,12
192,2025,4,7,28,14
161,2026,2,2,41,2
168,2026,3,3,42,12
65,2024,3,12,40,2
87,2026,3,8,25,21
170,2025,1,11,35,23
49,2024,1,11,17,20
79,2024,3,7,26,2
127,2024,4,12,30,24
275,2026,2,1,50,25
40,2024,4,4,41,15
152,2025,4,8,30,22
270,2024,4,3,43,29
70,2024,1,12,18,11
266,2024,2,10,24,27
105,2024,4,3,48,29
188,2024,1,11,7,6
141,2026,3,2,45,24
3,2024,3,11,25,11
54,2024,4,1,20,26
292,2026,1,11,8,11
299,2026,1,10,31,5
239,2024,4,5,11,23
250,2024,1,11,15,6
221,2026,4,7,47,29
22,2026,2,9,47,24
180,2025,1,8,23,6
267,2025,3,9,33,6
132,2024,1,10,3,15
81,2025,3,8,51,24
49,2024,2,5,43,5
279,2024,4,7,24,14
73,2026,3,11,35,1
222,2025,4,2,8,29
150,2025,3,1,9,1
116,2025,4,3,48,28
46,2026,2,3,48,15
84,2025,3,2,8,17
177,2024,2,7,3,27
105,2025,2,4,38,30
217,2025,2,10,26,4
158,2024,3,2,38,3
232,2026,1,12,35,27
63,2025,3,1,19,25
133,2026,4,3,14,21
68,2024,1,5,39,30
59,2024,2,12,27,22
93,2026,2,11,21,12
214,2026,2,10,11,9
59,2024,4,6,51,30
179,2025,3,2,16,18
225,2024,4,12,8,14
120,2025,1,6,18,1
62,2024,1,10,36,11
202,2025,4,2,11,2
190,2025,1,1,40,15
293,2026,1,11,11,14
67,2025,3,1,21,4
167,2026,2,3,40,28
193,2025,3,7,6,29
253,2026,4,11,20,3
48,2024,3,7,31,22
125,2025,3,9,20,12
176,2025,1,11,6,5
112,2024,3,12,38,3
266,2025,1,8,47,31
190,2025,1,11,6,21
241,2025,1,1,9,4
272,2026,1,5,25,15
81,2024,4,7,52,20
56,2026,1,3,49,25
134,2026,3,11,3,12
98,2025,1,1,41,17
3,2025,1,12,25,9
151,2026,2,5,42,4
275,2025,3,3,25,25
85,2026,2,8,42,5
213,2024,1,3,51,10
227,2026,4,2,40,15
123,2024,2,6,52,9
244,2025,3,12,20,25
259,2025,2,1,19,6
101,2026,1,3,26,27
292,2024,1,12,44,18
255,2025,2,4,10,14
43,2024,3,4,41,20
183,2024,1,11,7,17
177,2026,2,12,43,22
174,2024,4,5,37,19
88,2024,1,11,42,14
123,2026,2,3,13,25
54,2025,3,12,24,7
146,2026,4,5,3,5
78,2025,2,8,50,17
256,2026,2,7,40,17
278,2026,4,6,45,29
257,2024,3,8,34,19
78,2025,4,2,24,18
204,2024,3,1,6,20
19,2026,2,10,49,7
297,2026,2,9,10,24
69,2025,2,6,37,13
64,2024,1,2,12,30
216,2026,2,10,37,6
1,2026,4,4,15,9
81,2025,1,10,38,8
254,2026,4,9,6,26
83,2024,1,7,16,8
207,2025,1,1,9,3
274,2026,4,3,45,30
173,2024,3,2,22,11
202,2025,4,12,22,16
126,2026,4,4,6,19
150,2024,4,12,17,13
271,2026,4,12,49,31
42,2026,1,7,7,31
16,2026,4,7,52,16
8,2025,4,6,40,19
85,2026,2,3,42,16
179,2026,3,5,20,26
195,2025,4,6,37,6
235,2024,1,10,5,24
87,2024,3,10,19,8
163,2026,1,11,19,17
95,2025,1,8,8,27
299,2024,4,8,23,1
119,2025,2,4,41,21
25,2025,3,11,31,14
40,2026,4,4,20,13
168,2026,1,3,48,3
91,2024,3,6,4,24
134,2025,2,2,8,11
84,2025,3,7,19,15
170,2024,2,7,16,24
200,2024,4,4,28,14
48,2024,1,4,34,15
192,2025,2,5,46,29
71,2024,3,3,20,1
91,2025,2,3,24,23
261,2025,1,3,44,1
188,2026,3,6,7,30
105,2025,2,7,11,31
97,2025,1,12,39,18
115,2026,4,6,29,17
293,2025,2,12,46,30
189,2024,1,10,18,17
147,2025,3,5,46,14
81,2026,1,10,52,5
110,2025,4,2,8,17
142,2026,3,4,10,19
207,2024,2,11,16,3
207,2026,4,12,16,5
180,2026,1,1,29,10
73,2024,3,2,43,17
117,2025,4,2,26,5
81,2026,3,9,24,7
242,2026,1,8,30,19
29,2026,2,12,49,4
175,2025,2,8,15,1
196,2024,1,4,49,4
208,2025,4,9,18,22
161,2026,4,4,11,22
249,2026,4,6,46,28
273,2026,4,6,19,11
170,2026,3,5,52,24
209,2026,4,8,30,28
93,2024,4,8,20,13
236,2024,2,8,51,6
151,2026,4,4,24,2
287,2024,1,7,26,26
95,2026,2,1,47,8
46,2026,1,11,11,20
281,2024,1,4,14,22
165,2024,2,5,52,3
212,2026,1,7,32,4
3,2026,4,10,34,20
124,2026,3,9,42,7
259,2025,1,11,26,16
178,2026,1,3,41,14
32,2025,3,4,20,2
97,2026,1,9,18,21
137,2026,3,10,8,25
86,2026,4,5,17,11
218,2024,3,5,51,27
170,2024,1,5,36,17
182,2024,1,11,52,12
